neck_angle,spine_angle,shoulder_tilt,label
9.14,5.9,0.01,slouching
7.04,6.12,1.71,slouching
5.82,6.65,0.85,slouching
5.79,7.01,0.14,slouching
6.23,7.01,0.61,slouching
6.58,7.15,1.18,slouching
6.9,6.95,1.21,slouching
6.7,6.87,0.14,slouching
5.94,6.45,0.34,slouching
5.84,6.73,0.05,slouching
5.32,6.57,0.28,slouching
5.27,6.87,0.38,slouching
5.32,7.37,0.72,slouching
5.45,6.98,0.82,slouching
5.55,7.06,0.82,slouching
5.8,7.29,1.05,slouching
6.12,6.67,1.11,slouching
6.36,7.55,1.11,slouching
6.39,6.81,1.3,slouching
6.6,7.11,1.04,slouching
7.47,6.55,2.27,slouching
8.24,6.45,0.72,slouching
7.7,6.31,0.88,slouching
7.27,6.39,1.58,slouching
7.04,6.95,1.86,slouching
7.11,6.23,2.52,slouching
6.98,6.33,2.31,slouching
6.88,6.51,2.07,slouching
6.67,6.79,2.09,slouching
6.8,6.98,1.74,slouching
6.83,6.85,1.64,slouching
6.88,6.67,1.91,slouching
6.79,6.81,1.94,slouching
7.22,6.3,2.33,slouching
7.0,6.62,2.12,slouching
7.05,6.68,1.77,slouching
7.3,6.75,1.82,slouching
7.47,6.67,1.83,slouching
7.62,7.35,2.01,slouching
7.49,6.97,2.18,slouching
7.41,7.22,1.84,slouching
7.41,6.69,1.85,slouching
7.55,7.03,1.86,slouching
7.85,6.61,2.05,slouching
8.22,6.65,2.1,slouching
8.73,6.73,2.11,slouching
8.62,7.12,2.08,slouching
23.72,7.76,5.43,slouching
29.76,7.28,3.33,slouching
28.37,6.81,0.9,slouching
28.44,7.1,0.96,slouching
28.72,5.7,1.54,slouching
28.76,5.71,1.55,slouching
28.24,5.86,0.92,slouching
28.03,6.61,0.34,slouching
26.38,6.78,1.23,slouching
1.62,7.8,2.35,slouching
9.98,8.18,4.17,slouching
11.83,7.22,2.79,slouching
9.65,7.79,2.49,slouching
9.38,8.14,1.11,slouching
8.53,8.32,1.44,slouching
5.84,7.11,1.19,slouching
2.37,8.18,1.19,slouching
2.41,7.62,1.94,slouching
2.53,8.46,2.35,slouching
2.66,8.53,2.94,slouching
2.52,8.07,3.04,slouching
2.26,8.2,3.14,slouching
2.4,8.12,3.17,slouching
2.67,8.22,3.19,slouching
6.15,7.89,4.52,slouching
9.96,7.96,5.46,slouching
9.97,7.46,5.15,slouching
10.75,7.59,3.35,slouching
11.12,7.49,3.94,slouching
6.94,6.55,1.34,slouching
9.23,6.86,1.14,slouching
9.2,6.71,1.16,slouching
7.88,6.86,1.55,slouching
2.01,6.66,4.01,slouching
0.01,5.57,5.07,slouching
1.48,4.94,4.35,slouching
2.67,4.94,4.17,slouching
2.82,4.86,3.96,slouching
1.16,5.99,3.82,slouching
1.24,5.77,4.12,slouching
1.08,5.65,4.02,slouching
4.11,6.0,1.99,slouching
7.07,5.83,0.35,slouching
7.6,5.33,0.06,slouching
2.3,3.97,1.25,neck_forward
2.0,3.94,0.6,neck_forward
0.81,4.13,5.37,neck_forward
0.22,4.11,3.11,neck_forward
1.09,4.62,4.97,neck_forward
1.05,4.88,5.47,neck_forward
0.26,3.92,4.66,neck_forward
0.84,1.39,0.64,neck_forward
1.07,1.83,1.3,neck_forward
0.12,1.79,0.81,neck_forward
27.91,2.8,2.2,neck_forward
28.23,2.72,4.38,neck_forward
1.59,2.72,0.06,neck_forward
7.13,3.88,1.66,neck_forward
13.85,4.35,3.53,neck_forward
14.44,3.9,3.89,neck_forward
14.41,4.79,4.73,neck_forward
1.64,4.44,4.97,neck_forward
3.07,3.94,7.27,neck_forward
5.82,3.96,1.82,neck_forward
5.59,2.77,3.22,neck_forward
10.95,4.24,2.36,neck_forward
9.39,6.23,0.22,neck_forward
0.34,2.96,2.23,neck_forward
1.4,1.58,6.75,neck_forward
25.15,1.59,0.06,neck_forward
21.84,1.85,2.47,neck_forward
0.01,0.4,11.35,neck_forward
11.77,3.97,26.48,neck_forward
16.6,7.94,39.32,neck_forward
19.27,9.85,39.4,neck_forward
18.29,10.89,41.92,neck_forward
16.34,10.41,43.74,neck_forward
15.57,9.7,47.01,neck_forward
10.85,4.27,12.98,neck_forward
0.6,0.18,2.08,neck_forward
23.6,2.88,0.76,neck_forward
30.11,2.84,0.03,neck_forward
39.13,2.05,1.39,neck_forward
43.04,2.09,0.71,neck_forward
40.79,2.11,4.35,neck_forward
38.45,2.04,5.57,neck_forward
34.66,1.74,7.17,neck_forward
33.56,0.7,10.27,neck_forward
28.14,0.91,6.13,neck_forward
23.65,1.04,7.68,neck_forward
18.04,0.71,8.52,neck_forward
3.92,1.3,4.67,neck_forward
0.62,1.85,3.68,neck_forward
0.49,2.06,8.05,neck_forward
26.51,2.58,10.1,neck_forward
35.47,2.08,8.36,neck_forward
39.75,2.3,6.21,neck_forward
39.98,2.79,4.03,neck_forward
39.8,2.63,2.95,neck_forward
39.78,2.65,2.41,neck_forward
38.58,2.14,6.24,neck_forward
35.54,2.44,6.28,neck_forward
34.53,1.97,8.39,neck_forward
34.77,1.99,7.94,neck_forward
36.83,1.81,9.74,neck_forward
38.38,2.19,9.09,neck_forward
42.22,1.82,10.32,neck_forward
43.39,1.86,9.15,neck_forward
42.19,2.15,8.19,neck_forward
44.6,2.21,10.26,neck_forward
45.31,2.04,10.84,neck_forward
47.38,2.25,10.72,neck_forward
57.72,2.34,4.72,neck_forward
65.6,1.78,1.44,neck_forward
70.51,1.38,5.77,neck_forward
19.13,1.61,5.43,neck_forward
3.86,0.78,11.78,neck_forward
6.52,1.08,16.09,neck_forward
22.44,3.29,15.68,neck_forward
2.41,5.7,19.16,neck_forward
21.56,4.98,4.11,neck_forward
7.34,1.45,12.08,neck_forward
10.27,1.8,7.34,neck_forward
31.26,6.99,14.21,neck_forward
41.13,7.21,23.65,neck_forward
43.29,5.76,21.06,neck_forward
22.97,2.63,13.96,neck_forward
12.98,0.84,9.31,neck_forward
32.9,0.5,16.24,neck_forward
44.8,0.16,12.26,neck_forward
47.09,2.13,12.9,neck_forward
44.29,5.34,5.78,neck_forward
41.17,7.47,4.83,neck_forward
36.03,7.08,0.78,neck_forward
32.81,2.38,6.79,neck_forward
28.2,0.49,8.74,neck_forward
27.42,2.12,4.62,neck_forward
29.84,2.4,5.17,neck_forward
30.67,1.94,7.56,neck_forward
30.69,1.59,8.2,neck_forward
30.82,1.81,6.83,neck_forward
31.02,1.52,7.1,neck_forward
35.14,2.46,2.27,neck_forward
55.08,2.68,3.11,neck_forward
62.23,2.17,3.95,neck_forward
66.5,2.98,6.82,neck_forward
66.09,2.59,1.77,neck_forward
64.73,3.58,3.67,neck_forward
68.01,1.75,5.44,neck_forward
72.53,1.31,14.62,neck_forward
74.26,1.4,16.15,neck_forward
74.97,2.0,14.67,neck_forward
77.09,1.85,16.01,neck_forward
72.07,1.63,9.72,neck_forward
19.36,0.75,5.53,neck_forward
5.28,1.43,0.92,neck_forward
0.61,2.55,4.29,neck_forward
3.83,1.96,0.22,neck_forward
6.11,2.24,1.82,neck_forward
14.23,3.25,3.6,neck_forward
12.73,3.97,5.59,neck_forward
7.56,3.22,5.68,neck_forward
5.53,3.32,5.08,neck_forward
4.18,3.44,6.24,neck_forward
33.35,2.95,12.17,neck_forward
36.55,3.31,11.9,neck_forward
37.07,3.47,12.72,neck_forward
38.69,3.93,13.35,neck_forward
38.56,4.05,12.44,neck_forward
38.83,3.89,13.45,neck_forward
39.57,3.52,15.45,neck_forward
36.84,4.19,13.06,neck_forward
38.94,5.44,13.62,neck_forward
40.39,5.2,12.9,neck_forward
41.28,5.38,13.32,neck_forward
42.95,5.68,13.16,neck_forward
39.43,5.63,9.58,neck_forward
42.42,3.92,10.01,neck_forward
44.29,4.14,11.86,neck_forward
42.73,4.28,8.22,neck_forward
43.17,4.07,6.81,neck_forward
42.75,4.47,6.24,neck_forward
43.1,4.64,5.03,neck_forward
41.97,4.23,6.45,neck_forward
42.08,4.83,7.98,neck_forward
42.54,4.69,8.02,neck_forward
43.31,4.5,11.28,neck_forward
33.82,5.98,17.22,neck_forward
1.29,6.12,10.19,neck_forward
20.15,5.34,0.61,neck_forward
1.14,5.48,2.65,neck_forward
15.31,5.45,3.2,neck_forward
26.04,3.63,4.62,neck_forward
21.87,2.13,6.28,neck_forward
11.62,1.27,6.84,neck_forward
8.23,1.53,1.34,neck_forward
7.72,1.29,8.41,neck_forward
